2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
00-0000,All Occupations,total,Summary,164482.6,169148.1,4665.5,2.8,6,18566.5,46310.0,—,—,—,,,,,,,,
11-0000,Management Occupations,major,Summary,12574.7,13257.7,683.0,5.4,15.8,1053.1,107360.0,—,—,—,,,20199,40.5,81.6,9,6.6,11.5
11-1000,Top Executives,minor,Summary,3832.2,3958.0,125.8,3.3,1.8,315.0,99890.0,—,—,—,,,,,,,,
11-1011,Chief Executives,detailed,Line item,280.0,257.0,-23.0,-8.2,21.2,15.3,189520.0,Bachelor's degree,5 years or more,,Productivity change - share decreases as changing organizational structures allow fewer chief executives to manage the day-to-day operations of an organization.,0.015,1780,29.2,85.9,5.9,6.7,6.8
11-1021,General and Operations Managers,detailed,Line item,3507.8,3655.1,147.3,4.2,0.3,296.3,98100.0,Bachelor's degree,5 years or more,,,0.16,1165,35.4,82.4,9.1,5.3,11.5
11-1031,Legislators,detailed,Line item,44.4,46.0,1.5,3.4,—,3.4,48090.0,Bachelor's degree,Less than 5 years,,,,14,–,–,–,–,–
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,Summary,1049.4,1102.2,52.8,5.0,3.5,85.0,132820.0,—,—,—,,,,,,,,
11-2011,Advertising and Promotions Managers,detailed,Line item,30.9,31.4,0.6,1.9,27,2.8,127830.0,Bachelor's degree,Less than 5 years,,Productivity change - share decreases as consolidation of back office jobs allows same amount of output to be produced by fewer advertising and promotions managers.,0.039,68,49.7,80.3,13.8,4.4,8.9
11-2020,Marketing and Sales Managers,broad,Summary,912.9,959.1,46.2,5.1,2.9,74.4,133880.0,—,—,—,,,,,,,,
11-2021,Marketing Managers,detailed,Line item,358.2,381.9,23.7,6.6,5.3,31.2,140040.0,Bachelor's degree,5 years or more,,Productivity change - share decreases as consolidation of back office functions allow the same amount of output to be produced by fewer marketing managers.,0.014,656,58.9,83.9,6.8,7.5,11.4
11-2022,Sales Managers,detailed,Line item,554.7,577.2,22.5,4.0,1.3,43.2,130600.0,Bachelor's degree,Less than 5 years,,"Demand change - share decreases as growth in online sales will reduce the need for sales staff, including sales managers, on car showroom floors.",0.013,566,34.2,88.3,5.9,3.5,11.3
11-2030,Public Relations and Fundraising Managers,broad,Summary,105.7,111.7,6.0,5.7,2.3,7.8,125620.0,—,—,—,,,131,64.3,87.4,8.9,2.9,7.5
11-2032,Public Relations Managers,detailed,Line item,72.0,76.3,4.3,5.9,2.3,5.4,129430.0,Bachelor's degree,5 years or more,,,,,,,,,
11-2033,Fundraising Managers,detailed,Line item,33.7,35.4,1.7,5.1,2.1,2.5,107390.0,Bachelor's degree,5 years or more,,,,,,,,,
11-3000,Operations Specialties Managers,minor,Summary,2455.5,2722.6,267.1,10.9,1.6,205.5,130950.0,—,—,—,,,,,,,,
11-3010,Administrative Services and Facilities Managers,broad,Summary,377.8,397.7,19.9,5.3,0.4,31.4,101870.0,—,—,—,,,,,,,,
11-3012,Administrative Services Managers,detailed,Line item,250.8,264.9,14.0,5.6,—,21.1,103330.0,Bachelor's degree,Less than 5 years,,,,69,78.2,82.1,9.4,4.8,17.3
11-3013,Facilities Managers,detailed,Line item,127.0,132.8,5.8,4.6,1.2,10.3,99030.0,Bachelor's degree,Less than 5 years,,,,129,19.3,92,6.1,1.1,17.8
11-3021,Computer and Information Systems Managers,detailed,Line item,557.4,643.3,86.0,15.4,1.2,46.9,164070.0,Bachelor's degree,5 years or more,,"Demand change - share increases as organizations increasingly rely on IT services, supporting an increased demand for computer and information systems managers to plan and oversee computer hardware and software needs.",0.035,764,26.4,72.6,7.8,16.5,7.5
11-3031,Financial Managers,detailed,Line item,792.6,919.2,126.6,16.0,2.5,69.6,139790.0,Bachelor's degree,5 years or more,,"Demand change - share increases as several economic trends, including a greater emphasis on risk management and increases in corporate cash holdings, will increase demand for financial managers.",0.069,1380,55.7,78.5,9.6,9.3,10.1
11-3051,Industrial Production Managers,detailed,Line item,222.1,225.7,3.6,1.6,2.3,15.3,107560.0,Bachelor's degree,5 years or more,,,0.03,281,22.5,84,6.7,6.7,12.9
11-3061,Purchasing Managers,detailed,Line item,77.5,80.9,3.4,4.4,1.7,6.1,131350.0,Bachelor's degree,5 years or more,,,0.03,234,45.5,78.2,11.5,7.5,8.4
11-3071,"Transportation, Storage, and Distribution Managers",detailed,Line item,177.7,192.3,14.6,8.2,1.9,15.9,98560.0,High school diploma or equivalent,5 years or more,,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.,0.59,351,22.6,85.1,8.9,3.4,17.2
11-3111,Compensation and Benefits Managers,detailed,Line item,17.5,17.8,0.4,2.2,—,1.1,131280.0,Bachelor's degree,5 years or more,,"Sourcing change, capital/labor substitution - share decreases as compensation and benefits activities continue to be outsourced or automated through specialized software.",0.96,18,–,–,–,–,–
11-3121,Human Resources Managers,detailed,Line item,191.6,201.6,10.0,5.2,1.4,15.5,130000.0,Bachelor's degree,5 years or more,,,0.0055,295,72.9,81.5,12,4,11.6
11-3131,Training and Development Managers,detailed,Line item,41.3,44.0,2.7,6.5,—,3.5,120000.0,Bachelor's degree,5 years or more,,,0.0063,63,48.7,86.4,6.2,6.6,4.4
11-9000,Other Management Occupations,minor,Summary,5237.5,5474.9,237.4,4.5,35.1,447.6,99740.0,—,—,—,,,,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,Line item,922.9,880.6,-42.3,-4.6,67.2,88.8,75760.0,High school diploma or equivalent,5 years or more,,,0.047,946,23.9,94.8,1.5,0.6,6.6
11-9021,Construction Managers,detailed,Line item,505.8,528.7,22.9,4.5,39.3,38.7,101480.0,Bachelor's degree,,Moderate-term on-the-job training,"Demand change - share increases as technical and process improvements increase the need for construction managers to track costs, materials, and schedules.",0.071,1057,8.5,89.8,5.3,2.6,16.2
11-9030,Education and Childcare Administrators,broad,Summary,651.0,661.4,10.3,1.6,2.9,44.1,97920.0,—,—,—,,,988,68.1,78,16.3,4,9.8
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,Line item,74.8,72.6,-2.2,-3.0,6.8,4.6,49690.0,Bachelor's degree,Less than 5 years,,,0.015,,,,,,
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,Line item,300.4,303.7,3.3,1.1,1.5,20.2,101320.0,Master's degree,5 years or more,,,0.0046,,,,,,
11-9033,"Education Administrators, Postsecondary",detailed,Line item,218.2,225.9,7.7,3.5,2.9,15.3,99940.0,Master's degree,Less than 5 years,,,0.01,,,,,,
11-9039,"Education Administrators, All Other",detailed,Line item,57.6,59.2,1.6,2.8,4.8,4.0,89130.0,Bachelor's degree,Less than 5 years,,,,,,,,,
11-9041,Architectural and Engineering Managers,detailed,Line item,201.5,209.7,8.2,4.1,0.2,13.6,159920.0,Bachelor's degree,5 years or more,,,0.017,202,13.3,76.5,6.7,14.3,9.6
11-9051,Food Service Managers,detailed,Line item,357.5,359.2,1.6,0.5,33.4,39.6,61310.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,Demand change - share increases as movie theaters continue to expand food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.,0.083,1153,46.3,71.2,13,11.2,19.5
11-9070,Entertainment and Recreation Managers,broad,Summary,31.7,34.1,2.3,7.3,7.4,3.7,71420.0,—,—,—,,,65,41.5,87.4,7.1,1.6,8.6
11-9071,Gambling Managers,detailed,Line item,5.3,5.4,0.1,2.6,6.5,0.6,80710.0,High school diploma or equivalent,Less than 5 years,,,0.091,,,,,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,Line item,26.4,28.6,2.2,8.3,7.6,3.1,67220.0,Bachelor's degree,Less than 5 years,,,,,,,,,
11-9081,Lodging Managers,detailed,Line item,50.8,54.2,3.4,6.7,17.1,5.4,61910.0,High school diploma or equivalent,Less than 5 years,,,0.0039,113,46.7,75.4,6.6,12.9,8.4
11-9111,Medical and Health Services Managers,detailed,Line item,509.5,654.2,144.7,28.4,3.5,54.7,104830.0,Bachelor's degree,Less than 5 years,,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.,0.0073,797,71.6,74.6,16,7.3,9
11-9121,Natural Sciences Managers,detailed,Line item,86.3,90.5,4.2,4.8,—,6.5,144440.0,Bachelor's degree,5 years or more,,,0.018,28,–,–,–,–,–
11-9131,Postmasters and Mail Superintendents,detailed,Line item,13.0,12.1,-0.9,-6.7,—,0.8,82760.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,,0.75,26,–,–,–,–,–
11-9141,"Property, Real Estate, and Community Association Managers",detailed,Line item,429.6,453.0,23.4,5.4,37.5,35.9,60670.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,,0.81,835,50.3,83.1,9.9,4.3,11
11-9151,Social and Community Service Managers,detailed,Line item,178.4,194.6,16.2,9.1,4.7,16.0,74240.0,Bachelor's degree,Less than 5 years,,,0.0067,434,70.7,78.1,12.7,4.7,12.8
11-9161,Emergency Management Directors,detailed,Line item,11.8,12.2,0.4,3.3,—,0.9,79180.0,Bachelor's degree,5 years or more,,,0.003,22,–,–,–,–,–
11-9170,Personal Service Managers,broad,Summary,59.4,61.2,1.8,3.0,60.1,4.5,62120.0,—,—,—,,,6,–,–,–,–,–
11-9171,Funeral Home Managers,detailed,Line item,36.4,37.2,0.8,2.2,60.9,2.7,72110.0,Associate's degree,Less than 5 years,,,,8,–,–,–,–,–
11-9179,"Personal Service Managers, All Other",detailed,Line item,23.1,24.1,1.0,4.3,58.7,1.8,56090.0,High school diploma or equivalent,Less than 5 years,,,,,,,,,
11-9199,"Managers, All Other",detailed,Line item,1228.3,1269.4,41.0,3.3,52.5,94.4,128620.0,Bachelor's degree,Less than 5 years,,,0.25,5557,36.1,80.9,8.9,7,12.5
13-0000,Business and Financial Operations Occupations,major,Summary,10591.1,11179.7,588.6,5.6,4.2,911.4,76850.0,—,—,—,,,9152,54.5,77.9,10.2,8.9,11
13-1000,Business Operations Specialists,minor,Summary,7267.5,7683.5,415.9,5.7,3.7,648.2,76050.0,—,—,—,,,,,,,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,Line item,19.9,21.5,1.6,8.2,33.1,2.1,82530.0,Bachelor's degree,Less than 5 years,,,0.24,39,–,–,–,–,–
13-1020,Buyers and Purchasing Agents,broad,Line item,494.4,456.3,-38.0,-7.7,3.4,39.0,67620.0,Bachelor's degree,,Moderate-term on-the-job training,"Capital/labor substitution - share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers.",,4,–,–,–,–,–
13-1020,Buyers and Purchasing Agents,detailed,Line item,494.4,456.3,-38.0,-7.7,3.4,39.0,67620.0,Bachelor's degree,,Moderate-term on-the-job training,"Capital/labor substitution - share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers.",,4,–,–,–,–,–
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,Summary,342.6,331.9,-10.7,-3.1,1.2,21.5,72040.0,—,—,—,,,365,56.8,75.2,16,5.7,13.2
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,Line item,329.0,318.7,-10.3,-3.1,1.2,20.6,72230.0,High school diploma or equivalent,,Long-term on-the-job training,"Productivity change - share decreases as computer software will automate much of this work, reducing the needed number of adjusters.",0.98,,,,,,
13-1032,"Insurance Appraisers, Auto Damage",detailed,Line item,13.6,13.3,-0.4,-2.6,1.4,0.9,69380.0,Postsecondary nondegree award,,Moderate-term on-the-job training,"Productivity change, capital/labor substitution - share decreases as appraisal activities continue to be automated through specialized software.",0.98,,,,,,
13-1041,Compliance Officers,detailed,Line item,377.5,394.7,17.2,4.6,0,31.0,71690.0,Bachelor's degree,,Moderate-term on-the-job training,,0.08,294,56.8,76.5,13.7,5.6,16.5
13-1051,Cost Estimators,detailed,Line item,231.4,224.9,-6.5,-2.8,1.2,18.0,71200.0,Bachelor's degree,,Moderate-term on-the-job training,Productivity change - share decreases as cost estimation software has made this work more efficient.,0.57,140,15.9,91.9,1.1,4.2,9
13-1070,Human Resources Workers,broad,Summary,940.7,991.6,51.0,5.4,1.3,84.1,65000.0,—,—,—,,,936,77.2,77,14,6.2,16.2
13-1071,Human Resources Specialists,detailed,Line item,874.5,925.9,51.4,5.9,1.3,78.7,64240.0,Bachelor's degree,,,Sourcing change - share decreases as companies increasingly contract out human resources services to human resources services specialist firms and rely on software for more perfunctory HR activities.,,,,,,,
13-1074,Farm Labor Contractors,detailed,Line item,1.6,1.7,0.1,7.4,—,0.2,49330.0,No formal educational credential,Less than 5 years,Short-term on-the-job training,,0.97,,,,,,
13-1075,Labor Relations Specialists,detailed,Line item,64.6,64.0,-0.5,-0.8,1.4,5.2,82010.0,Bachelor's degree,Less than 5 years,,"Demand change - share decreases as the percentage of workers who are union members declines, and fewer unionized workers means less need for labor relations specialists who work with management on their behalf.",,,,,,,
13-1080,Logisticians and Project Management Specialists,broad,Summary,1090.0,1182.9,93.0,8.5,0.7,89.9,88050.0,—,—,—,,,,,,,,
13-1081,Logisticians,detailed,Line item,208.7,246.9,38.3,18.3,0.6,21.8,77520.0,Bachelor's degree,,,Demand change - share increases as the growth of e-commerce makes logistics more dynamic and complex.,0.012,169,43.7,74,18,5.4,16.3
13-1082,Project Management Specialists,detailed,Line item,881.3,936.0,54.7,6.2,0.8,68.1,95370.0,Bachelor's degree,,,Demand change - share increases as more project management specialists will be needed to manage the growing volume and complexity of IT projects needed to support expanded telework. Project managers will be needed to ensure that tech projects are completed on time and within budget.,,841,42.2,78.3,9,9.3,7.7
13-1111,Management Analysts,detailed,Line item,987.6,1083.3,95.7,9.7,14.3,92.9,95290.0,Bachelor's degree,Less than 5 years,,Demand change - share increases as an expected increase in business activities and investments into digital technology increase demand to manage and analyze new business operations by managing offices.,0.13,1045,48.2,76.2,8.5,12.6,6.5
13-1121,"Meeting, Convention, and Event Planners",detailed,Line item,132.0,141.9,9.9,7.5,3.5,15.2,52560.0,Bachelor's degree,,,,0.037,159,74.5,78.9,14,3.7,12.5
13-1131,Fundraisers,detailed,Line item,124.0,130.5,6.5,5.2,2.1,9.9,61190.0,Bachelor's degree,,,,,76,82.9,91.8,0.3,3.9,9.3
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,Line item,98.2,105.1,6.9,7.0,—,7.7,67780.0,Bachelor's degree,Less than 5 years,,,0.47,65,64.5,52.1,32,9.4,16.3
13-1151,Training and Development Specialists,detailed,Line item,385.8,409.9,24.2,6.3,0.8,35.4,63080.0,Bachelor's degree,Less than 5 years,,Sourcing change - share increases as more outside materials are purchased for use rather than being developed in-house.,0.014,157,54.9,78.7,13.2,4.9,13.1
13-1161,Market Research Analysts and Marketing Specialists,detailed,Line item,868.6,985.2,116.6,13.4,4.6,94.6,68230.0,Bachelor's degree,,,Demand change - share increases as businesses will need market research analysts to analyze the increasing amounts of data collected in order to support and improve business decisions.,0.61,455,57.9,79.6,5.8,11.1,9.9
13-1199,"Business Operations Specialists, All Other",detailed,Line item,1174.8,1223.6,48.7,4.1,2.3,107.0,75990.0,Bachelor's degree,,,Demand change - share increases as an expected increase in business activities and investments into digital technology increase demand to manage and support expanded business operations by managing offices.,0.23,409,59.8,78.6,10.9,7,12.4
13-2000,Financial Specialists,minor,Summary,3323.6,3496.2,172.7,5.2,5.2,263.2,78180.0,—,—,—,,,,,,,,
13-2011,Accountants and Auditors,detailed,Line item,1538.4,1605.8,67.4,4.4,4.2,126.5,78000.0,Bachelor's degree,,,,0.94,1652,58.8,76.1,9.7,11.7,9.7
13-2020,Property Appraisers and Assessors,broad,Line item,77.6,81.1,3.6,4.6,20,6.9,61560.0,Bachelor's degree,,Long-term on-the-job training,,,100,45.5,92.4,4.2,2.7,7.8
13-2020,Property Appraisers and Assessors,detailed,Line item,77.6,81.1,3.6,4.6,20,6.9,61560.0,Bachelor's degree,,Long-term on-the-job training,,,100,45.5,92.4,4.2,2.7,7.8
13-2031,Budget Analysts,detailed,Line item,51.6,53.3,1.7,3.3,—,3.6,82260.0,Bachelor's degree,,,,0.94,48,–,–,–,–,–
13-2041,Credit Analysts,detailed,Line item,73.0,69.9,-3.2,-4.3,0.4,4.6,78850.0,Bachelor's degree,,,Productivity change - share decreases as companies increase the productivity of credit analysts by using more data and machine learning in the credit risk analyses process.,0.98,51,46.3,72.8,6.9,11.3,9.3
13-2050,Financial Analysts and Advisors,broad,Summary,829.1,897.1,68.0,8.2,7.4,61.3,90680.0,—,—,—,,,,,,,,
13-2051,Financial and Investment Analysts,detailed,Line item,317.2,341.4,24.2,7.6,5.6,23.0,95080.0,Bachelor's degree,,,Demand change - share increases as corporations and investors increasingly seek to protect and grow their assets and investments via funds managed by financial and investments analysts.,0.23,387,40.2,74.7,8,14.2,12.2
13-2052,Personal Financial Advisors,detailed,Line item,327.6,369.6,42.0,12.8,12.2,25.6,95390.0,Bachelor's degree,,Long-term on-the-job training,"Demand change, productivity change - share increases as an aging population drives demand for investment advisory services. This demand will be partially offset by the use of robo-advisors in place of personal financial advisors.",0.58,543,35.1,82.7,6.3,9.5,8.4
13-2053,Insurance Underwriters,detailed,Line item,125.5,122.4,-3.0,-2.4,1.6,8.2,76230.0,Bachelor's degree,,Moderate-term on-the-job training,"Productivity change - share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters.",0.99,105,65.6,83.5,13.2,2.3,13
13-2054,Financial Risk Specialists,detailed,Line item,58.9,63.7,4.8,8.2,2.2,4.4,102120.0,Bachelor's degree,,,,,,,,,,
13-2061,Financial Examiners,detailed,Line item,65.6,78.5,12.8,19.5,—,6.3,82210.0,Bachelor's degree,,Long-term on-the-job training,"Demand change - share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners.",0.17,19,–,–,–,–,–
13-2070,Credit Counselors and Loan Officers,broad,Summary,387.7,399.8,12.2,3.1,1.5,27.7,63650.0,—,—,—,,,391,54.8,77.2,12.2,6.1,13.2
13-2071,Credit Counselors,detailed,Line item,32.8,34.6,1.8,5.4,1.1,2.4,47320.0,Bachelor's degree,,Moderate-term on-the-job training,,0.04,,,,,,
13-2072,Loan Officers,detailed,Line item,354.8,365.3,10.4,2.9,1.6,25.3,65740.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"Productivity change - share decreases as companies adopt automated systems, which can perform data processing tasks and require reduced interactions with customers, thereby enabling fewer officers to complete loan applications.",0.98,,,,,,
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,Summary,164.6,166.5,1.9,1.2,14.5,16.5,51830.0,—,—,—,,,,,,,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,Line item,55.0,55.4,0.3,0.6,2,4.1,57950.0,Bachelor's degree,,Moderate-term on-the-job training,,0.93,71,57.9,83.5,9.8,5.8,15
13-2082,Tax Preparers,detailed,Line item,109.5,111.1,1.6,1.5,20.8,12.4,48250.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.99,98,61.6,83.1,6.7,9.2,17.2
13-2099,"Financial Specialists, All Other",detailed,Line item,136.0,144.2,8.3,6.1,1.6,9.9,73810.0,Bachelor's degree,,,,0.33,87,56.6,66,14.3,11.7,7.1
15-0000,Computer and Mathematical Occupations,major,Summary,5277.6,6081.4,803.8,15.2,2.1,411.0,100440.0,—,—,—,,,6171,26.7,65.1,9.1,22.3,8.6
15-1200,Computer Occupations,minor,Summary,4929.1,5631.0,701.9,14.2,2.2,377.5,100530.0,—,—,—,,,,,,,,
15-1210,Computer and Information Analysts,broad,Summary,700.3,804.7,104.4,14.9,1.8,54.3,104230.0,—,—,—,,,,,,,,
15-1211,Computer Systems Analysts,detailed,Line item,531.4,582.6,51.1,9.6,2.2,37.6,102240.0,Bachelor's degree,,,Demand change - share increases as computer cloud solutions and applications expand.,,501,38.7,68.8,12.7,15.3,9.4
15-1212,Information Security Analysts,detailed,Line item,168.9,222.2,53.2,31.5,0.5,16.8,112000.0,Bachelor's degree,Less than 5 years,,"Demand change, productivity change - share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyberattacks aimed at sensitive or financial data, offset slightly by efficiencies gained through increased use of automated and AI technologies to improve security measures.",,178,18,76.6,11.6,7.7,11.9
15-1221,Computer and Information Research Scientists,detailed,Line item,36.5,44.8,8.3,22.7,—,3.4,136620.0,Master's degree,,,Demand change - share increases as continued demand for new and improved approaches to solve complex computing challenges are needed to support expanding technologies will support an increased demand for computer and information research scientists.,,41,–,–,–,–,–
15-1230,Computer Support Specialists,broad,Summary,914.1,963.3,49.2,5.4,2,66.5,59660.0,—,—,—,,,704,25.8,71.2,11.3,12.5,12.9
15-1231,Computer Network Support Specialists,detailed,Line item,177.9,190.4,12.5,7.0,1.9,13.3,68050.0,Associate's degree,,Moderate-term on-the-job training,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.,,,,,,,
15-1232,Computer User Support Specialists,detailed,Line item,736.2,772.9,36.8,5.0,2,53.2,57890.0,"Some college, no degree",,Moderate-term on-the-job training,"Sourcing change, productivity change - share decreases as specialized businesses and industries solve computer troubleshooting needs through automated tools such as chatbots, and businesses find these tools handle most problems their users face.",,,,,,,
15-1240,Database and Network Administrators and Architects,broad,Summary,669.4,696.4,27.0,4.0,0.4,40.2,103270.0,—,—,—,,,137,38.8,65.3,7.5,23.6,6.8
15-1241,Computer Network Architects,detailed,Line item,180.2,186.6,6.3,3.5,1.4,10.2,126900.0,Bachelor's degree,5 years or more,,"Sourcing change - share decreases as computer network tasks continue to be automated and consolidated, reducing the demand for computer network architects.",,98,8.6,65.9,16.9,11.6,8.2
15-1242,Database Administrators,detailed,Line item,85.2,91.2,6.0,7.0,—,5.7,99890.0,Bachelor's degree,,,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.,,,,,,,
15-1243,Database Architects,detailed,Line item,64.0,70.4,6.4,10.0,—,4.5,134870.0,Bachelor's degree,Less than 5 years,,Demand change - share increases as the demand for upgraded computer equipment and software increases with the expansion in cloud computing and other services.,,,,,,,
15-1244,Network and Computer Systems Administrators,detailed,Line item,339.9,348.2,8.3,2.5,—,19.8,90520.0,Bachelor's degree,,,"Sourcing change - share decreases as computer network tasks continue to be automated and consolidated, reducing the demand for network and computer systems administrators.",,217,19.8,75.1,9.5,11.9,9.1
15-1250,"Software and Web Developers, Programmers, and Testers",broad,Summary,2159.4,2628.6,469.2,21.7,2.7,179.5,114190.0,—,—,—,,,,,,,,
15-1251,Computer Programmers,detailed,Line item,147.4,130.8,-16.6,-11.2,7.1,6.7,97800.0,Bachelor's degree,,,"Productivity change - share decreases as computer programming work continues to be automated, allowing computer programmers to become more efficient in some of their tasks.",,457,22.1,69.5,5.5,21.4,8
15-1252,Software Developers,detailed,Line item,1594.5,2004.9,410.4,25.7,1.6,136.3,127260.0,Bachelor's degree,,,"Demand change - share increases as continued demand for devices to include software components and are connected to the internet, including IoT connected devices, will support an increased demand for software developers.",,2085,21.5,55,5.7,36.4,5.7
15-1253,Software Quality Assurance Analysts and Testers,detailed,Line item,200.8,241.6,40.8,20.3,—,17.5,99620.0,Bachelor's degree,,,"Demand change - share increases as software development enhancements needed to support expanding technologies, including Internet of Things (IoT) connected devices, will support an increased demand for software quality assurance analysts and testers.",,83,33,67.1,8,23.9,12.1
15-1254,Web Developers,detailed,Line item,98.8,115.5,16.7,17.0,6.6,8.3,78580.0,Bachelor's degree,,,"Demand change - share increases as website and web application development is expanded as e-commerce continues to expand, increasing the demand for web developers.",,79,21.9,80.2,0.8,10.2,20.4
15-1255,Web and Digital Interface Designers,detailed,Line item,117.9,135.8,17.9,15.2,13.1,10.7,83240.0,Bachelor's degree,,,"Demand change - share increases as website and web application development is expanded as e-commerce continues to expand, increasing the demand for web and digital interface designers.",,89,44.5,79.1,7.2,9.1,9
15-1299,"Computer Occupations, All Other",detailed,Line item,449.4,493.1,43.8,9.7,3.2,33.5,98740.0,Bachelor's degree,,,Demand change - share increases as the federal government continues to fend off cyber threats from both domestic and international bad actors.,,969,26,67.9,14.7,14,11.1
15-2000,Mathematical Science Occupations,minor,Summary,348.5,450.4,101.9,29.2,0.7,33.5,99590.0,—,—,—,,,,,,,,
15-2011,Actuaries,detailed,Line item,30.0,36.9,7.0,23.2,—,2.3,113990.0,Bachelor's degree,,Long-term on-the-job training,"Demand change - share increases as a greater emphasis on identifying, quantifying, and managing risks leads to greater demand for actuaries to analyze the financial costs of risks and uncertainty.",0.21,30,–,–,–,–,–
15-2021,Mathematicians,detailed,Line item,2.3,2.3,0.1,2.2,—,0.1,112110.0,Master's degree,,,,0.047,4,–,–,–,–,–
15-2031,Operations Research Analysts,detailed,Line item,109.9,134.7,24.7,22.5,0.3,9.8,85720.0,Bachelor's degree,,,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire operations research analysts to analyze data to help optimize and improve business processes.,0.035,135,51.6,68.7,17.6,9.2,11.3
15-2041,Statisticians,detailed,Line item,33.3,43.9,10.5,31.6,0.8,3.3,98920.0,Master's degree,,,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire statisticians to analyze data to help improve business processes and design and develop new products.,0.22,51,48.2,56.9,6.4,35.3,2.7
15-2051,Data Scientists,detailed,Line item,168.9,228.2,59.4,35.2,1.1,17.7,103500.0,Bachelor's degree,,,Demand change - share increases as larger amounts of digital and electronic data are collected over the projections decade. Businesses in all industries will hire data scientists to analyze data to help improve business processes and design and develop new products.,,,,,,,
15-2099,"Mathematical Science Occupations, All Other",detailed,Line item,4.1,4.4,0.3,6.2,—,0.3,71700.0,Bachelor's degree,,,,,314,43,74.1,5.7,17.5,7
17-0000,Architecture and Engineering Occupations,major,Summary,2611.8,2746.8,134.9,5.2,2.8,188.0,83700.0,—,—,—,,,3464,16.1,77.3,6.6,13.9,10.3
17-1000,"Architects, Surveyors, and Cartographers",minor,Summary,212.2,221.3,9.2,4.3,11.1,14.5,79000.0,—,—,—,,,,,,,,
17-1010,"Architects, Except Naval",broad,Summary,147.3,153.5,6.2,4.2,14.2,10.0,81640.0,—,—,—,,,182,29.8,87.7,4.6,7,8.3
17-1011,"Architects, Except Landscape and Naval",detailed,Line item,123.7,129.7,6.0,4.8,12.6,8.2,82840.0,Bachelor's degree,,Internship/residency,Occupational substitution - share increases as architects take on the duties formerly performed by architectural paraprofessionals.,0.018,,,,,,
17-1012,Landscape Architects,detailed,Line item,23.6,23.8,0.2,0.7,23,1.8,73210.0,Bachelor's degree,,Internship/residency,,0.045,32,–,–,–,–,–
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,Summary,64.8,67.8,3.0,4.7,4.1,4.4,64710.0,—,—,—,,,43,–,–,–,–,–
17-1021,Cartographers and Photogrammetrists,detailed,Line item,14.0,14.7,0.7,5.0,2.8,1.0,71890.0,Bachelor's degree,,,,0.88,,,,,,
17-1022,Surveyors,detailed,Line item,50.8,53.1,2.3,4.6,4.5,3.5,63080.0,Bachelor's degree,,Internship/residency,,0.38,,,,,,
17-2000,Engineers,minor,Summary,1736.1,1856.6,120.5,6.9,2,111.4,100030.0,—,—,—,,,,,,,,
