2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
53-0000,Transportation and Material Moving Occupations,major,Summary,14302.8,15082.2,779.4,5.4,4.1,1920.8,37940.0,—,—,—,,,11826,21.8,70.9,20.3,4.4,24.3
53-1000,Supervisors of Transportation and Material Moving Workers,minor,Summary,609.1,637.9,28.8,4.7,0.4,64.8,57810.0,—,—,—,,,312,24.2,72.8,14.8,5.8,19.9
53-1041,Aircraft Cargo Handling Supervisors,detailed,Line item,8.0,8.7,0.7,8.6,—,0.9,53490.0,High school diploma or equivalent,Less than 5 years,,,,187,9.2,95.7,2.6,1.6,9.7
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,Line item,601.1,629.2,28.1,4.7,0.4,63.9,57860.0,High school diploma or equivalent,Less than 5 years,,"Demand change - share decreases as increased use of automated guided vehicles requires fewer operators, resulting in fewer supervisors.",,,,,,,
53-2000,Air Transportation Workers,minor,Summary,291.7,311.0,19.3,6.6,0.5,36.9,95010.0,—,—,—,,,,,,,,
53-2010,Aircraft Pilots and Flight Engineers,broad,Summary,142.6,148.1,5.6,3.9,0.9,16.8,148900.0,—,—,—,,,,,,,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,Line item,91.7,95.2,3.5,3.9,—,10.8,211790.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,,0.18,,,,,,
53-2012,Commercial Pilots,detailed,Line item,50.9,52.9,2.1,4.0,2.6,6.0,103910.0,Postsecondary nondegree award,,Moderate-term on-the-job training,,0.55,,,,,,
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad,Summary,38.0,39.1,1.1,2.8,—,3.4,94700.0,—,—,—,,,35,–,–,–,–,–
53-2021,Air Traffic Controllers,detailed,Line item,23.0,23.3,0.3,1.4,—,2.0,132250.0,Associate's degree,,Long-term on-the-job training,Demand change - share increases as air traffic volume is expected to increase over the period.,0.11,,,,,,
53-2022,Airfield Operations Specialists,detailed,Line item,15.0,15.8,0.7,4.9,—,1.4,49600.0,High school diploma or equivalent,,Long-term on-the-job training,,0.71,,,,,,
53-2031,Flight Attendants,detailed,Line item,111.1,123.8,12.6,11.4,—,16.6,63760.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,"Demand change - share increases as airlines continue to replace smaller planes with larger aircraft or add more seats to the existing planes, which will result in more flight attendants on average per aircraft.",0.35,116,69.9,78.4,11.1,6.5,12.5
53-3000,Motor Vehicle Operators,minor,Summary,4887.0,5224.7,337.7,6.9,10.1,589.2,45460.0,—,—,—,,,,,,,,
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,Line item,10.1,10.1,0.0,0.2,—,1.4,30380.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Occupational substitution - share decreases as emergency medical technicians and paramedics increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Being able to drive an ambulance is also an implicit skill required from technicians and paramedics, contributing further to this trend.",0.25,15,–,–,–,–,–
53-3030,Driver/Sales Workers and Truck Drivers,broad,Summary,3897.8,4162.8,265.0,6.8,7.5,445.0,46300.0,—,—,—,,,,,,,,
53-3031,Driver/Sales Workers,detailed,Line item,541.0,582.9,41.9,7.7,7.6,62.5,32690.0,High school diploma or equivalent,,Short-term on-the-job training,Demand change - share increases as grocery stores increasingly add food delivery to their services and some grocery stores choose to employ their own drivers to handle deliveries.,0.98,,,,,,
53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,Line item,2192.3,2281.5,89.3,4.1,7.5,241.2,49920.0,Postsecondary nondegree award,,Short-term on-the-job training,Capital/labor substitution - share decreases as the industry adopts autonomous vehicles such as hauling trucks.,0.79,,,,,,
53-3033,Light Truck Drivers,detailed,Line item,1164.6,1298.4,133.8,11.5,7.6,141.3,40410.0,High school diploma or equivalent,,Short-term on-the-job training,"Demand change - share increases as demand from e-commerce growth results in greater volumes of home delivery, which requires more drivers relative to other occupations.",0.69,,,,,,
53-3050,Passenger Vehicle Drivers,broad,Summary,910.8,978.1,67.3,7.4,19.8,131.9,39440.0,—,—,—,,,,,,,,
53-3051,"Bus Drivers, School",detailed,Line item,358.8,363.7,4.9,1.4,0.5,55.2,41270.0,High school diploma or equivalent,,Short-term on-the-job training,,,250,52,74.7,19.9,3.3,14.4
53-3052,"Bus Drivers, Transit and Intercity",detailed,Line item,156.4,164.8,8.4,5.4,4.1,21.2,50890.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,245,39.7,57.5,36.6,2.9,12.2
53-3053,Shuttle Drivers and Chauffeurs,detailed,Line item,218.4,235.9,17.5,8.0,4.4,32.6,32800.0,No formal educational credential,,Short-term on-the-job training,,,3539,8.1,74.1,18.3,4,23.3
53-3053,Shuttle Drivers and Chauffeurs,detailed,Line item,218.4,235.9,17.5,8.0,4.4,32.6,32800.0,No formal educational credential,,Short-term on-the-job training,,,59,16.2,60.6,26.1,2.6,26
53-3054,Taxi Drivers,detailed,Line item,177.3,213.7,36.4,20.6,91.5,22.8,30670.0,No formal educational credential,,Short-term on-the-job training,,,455,13,50,26.3,20,23
53-3099,"Motor Vehicle Operators, All Other",detailed,Line item,68.3,73.7,5.4,7.9,26.3,10.9,33210.0,No formal educational credential,,Short-term on-the-job training,,,193,28.5,62.1,28.2,4.9,18.8
53-4000,Rail Transportation Workers,minor,Summary,90.5,91.8,1.2,1.4,—,7.7,68960.0,—,—,—,,,,,,,,
53-4010,Locomotive Engineers and Operators,broad,Summary,32.3,32.6,0.3,1.0,—,2.6,73770.0,—,—,—,,,52,3.8,71,17.2,3.5,3.2
53-4011,Locomotive Engineers,detailed,Line item,29.7,29.9,0.2,0.8,—,2.4,74570.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,,0.96,,,,,,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,Line item,2.6,2.6,0.1,2.4,—,0.2,56340.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.91,,,,,,
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,Line item,12.2,12.3,0.1,1.2,—,1.2,67540.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,,,,,,
53-4031,Railroad Conductors and Yardmasters,detailed,Line item,34.2,34.6,0.4,1.1,—,2.8,68180.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.83,38,–,–,–,–,–
53-4041,Subway and Streetcar Operators,detailed,Line item,9.5,9.8,0.3,3.5,—,1.0,88260.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.86,,,,,,
53-4099,"Rail Transportation Workers, All Other",detailed,Line item,2.4,2.4,0.1,2.2,—,0.2,42280.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,18,–,–,–,–,–
53-5000,Water Transportation Workers,minor,Summary,83.2,84.8,1.5,1.8,3.8,8.8,66100.0,—,—,—,,,,,,,,
53-5011,Sailors and Marine Oilers,detailed,Line item,30.7,31.3,0.6,2.0,0.4,3.3,47490.0,No formal educational credential,,Moderate-term on-the-job training,,0.83,25,–,–,–,–,–
53-5020,Ship and Boat Captains and Operators,broad,Summary,43.2,44.0,0.8,1.8,6.9,4.5,87320.0,—,—,—,,,41,–,–,–,–,–
53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,Line item,39.6,40.3,0.7,1.7,7,4.1,95210.0,Postsecondary nondegree award,Less than 5 years,,,0.27,,,,,,
53-5022,Motorboat Operators,detailed,Line item,3.6,3.7,0.1,2.9,6.5,0.4,41430.0,Postsecondary nondegree award,Less than 5 years,,,0.62,,,,,,
53-5031,Ship Engineers,detailed,Line item,9.3,9.4,0.1,1.3,—,1.0,87300.0,Postsecondary nondegree award,Less than 5 years,,,0.041,6,–,–,–,–,–
53-6000,Other Transportation Workers,minor,Summary,291.7,296.4,4.7,1.6,0.4,40.7,32680.0,—,—,—,,,,,,,,
53-6011,Bridge and Lock Tenders,detailed,Line item,3.8,3.8,0.0,-0.8,—,0.4,47280.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as an increase in the automation and remote operation of locks and bridges will replace some of the tasks previously performed by bridge and lock tenders.,0.97,,,,,,
53-6021,Parking Attendants,detailed,Line item,108.4,110.0,1.6,1.5,—,15.7,30570.0,No formal educational credential,,Short-term on-the-job training,Capital/labor substitution - share decreases as automated parking machines replace the tasks previously done by human parking attendants.,0.87,68,14.6,63.2,26.2,9.3,30.1
53-6030,Transportation Service Attendants,broad,Summary,120.6,121.7,1.1,0.9,—,17.7,31820.0,—,—,—,,,91,17.5,69.2,12.9,6.7,15.5
53-6031,Automotive and Watercraft Service Attendants,detailed,Line item,100.7,100.9,0.2,0.2,—,14.6,30850.0,No formal educational credential,,Short-term on-the-job training,Demand change - share increases as automobile dealers continue to offer more vehicle repair and maintenance services and drivers increasingly prefer to take their vehicle to a dealer for servicing.,0.83,,,,,,
53-6032,Aircraft Service Attendants,detailed,Line item,19.9,20.8,0.9,4.7,—,3.0,37050.0,High school diploma or equivalent,,Short-term on-the-job training,,,,,,,,
53-6041,Traffic Technicians,detailed,Line item,7.6,7.9,0.3,3.5,—,0.8,50050.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.9,,,,,,
53-6051,Transportation Inspectors,detailed,Line item,25.7,26.4,0.7,2.7,3.1,2.4,79570.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.9,44,–,–,–,–,–
53-6061,Passenger Attendants,detailed,Line item,13.5,14.0,0.6,4.1,—,2.4,34630.0,High school diploma or equivalent,,Short-term on-the-job training,,0.75,21,–,–,–,–,–
53-6099,"Transportation Workers, All Other",detailed,Line item,12.1,12.6,0.5,3.9,1.9,1.3,37430.0,High school diploma or equivalent,,Short-term on-the-job training,,,47,–,–,–,–,–
53-7000,Material Moving Workers,minor,Summary,8049.4,8435.6,386.2,4.8,1.1,1172.6,35670.0,—,—,—,,,,,,,,
